module,controller_file,controller_id,action,internal_route,url,url_source,abstract_base,method,http_status,session,curl_error
api,api/controllers/AiChatController.php,ai-chat,incoming,api/ai-chat/incoming,webhook/amocrm/ai-chat,explicit_rule,no,GET,200,anon,
api,api/controllers/AiChatController.php,ai-chat,status,api/ai-chat/status,webhook/amocrm/ai-chat/status,explicit_rule,no,GET,200,anon,
api,api/controllers/AmocrmController.php,amocrm,create-order,api/amocrm/create-order,api/amocrm/create-order,explicit_rule,no,GET,401,anon,
api,api/controllers/AmocrmController.php,amocrm,products,api/amocrm/products,api/amocrm/products,explicit_rule,no,GET,401,anon,
api,api/controllers/AmocrmController.php,amocrm,order,api/amocrm/order,api/amocrm/order,explicit_rule,no,GET,401,anon,
api,api/controllers/AmocrmController.php,amocrm,sync,api/amocrm/sync,api/amocrm/sync,explicit_rule,no,GET,401,anon,
api,api/controllers/DocController.php,doc,index,api/doc/index,/api/doc/index,default_pattern_guess,no,GET,200,anon,
api,api/controllers/DocController.php,doc,json,api/doc/json,/api/doc/json,default_pattern_guess,no,GET,200,anon,
api,api/controllers/HealthController.php,health,live,api/health/live,/api/health/live,default_pattern_guess,no,GET,200,anon,
api,api/controllers/HealthController.php,health,ready,api/health/ready,/api/health/ready,default_pattern_guess,no,GET,200,anon,
api,api/controllers/HealthController.php,health,status,api/health/status,/api/health/status,default_pattern_guess,no,GET,403,anon,
api,api/controllers/WebhookController.php,webhook,dobropost,api/webhook/dobropost,api/webhook/dobropost,explicit_rule,no,GET,405,anon,
api,api/controllers/WebhookController.php,webhook,amocrm,api/webhook/amocrm,webhook/amocrm/event,explicit_rule,no,GET,503,anon,
api,api/controllers/WebhookController.php,webhook,lead-status-changed,api/webhook/lead-status-changed,webhook/amocrm/lead-status-changed,explicit_rule,no,GET,503,anon,
account,backend/modules/account/controllers/AccountController.php,account,index,account/account/index,account,explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/AccountController.php,account,login,account/account/login,account/login,explicit_rule,no,GET,200,anon,
account,backend/modules/account/controllers/AccountController.php,account,register,account/account/register,account/register,explicit_rule,no,GET,200,anon,
account,backend/modules/account/controllers/AccountController.php,account,logout,account/account/logout,account/logout,explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/AccountController.php,account,profile,account/account/profile,account/profile,explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/AccountController.php,account,orders,account/account/orders,account/tracking,explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/AccountController.php,account,order-view,account/account/order-view,"account/order/<id:\d+>",explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/AccountController.php,account,settings,account/account/settings,account/settings,explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/AccountController.php,account,forgot-password,account/account/forgot-password,account/forgot-password,explicit_rule,no,GET,200,anon,
account,backend/modules/account/controllers/AccountController.php,account,find-orders,account/account/find-orders,account/find-orders,explicit_rule,no,GET,200,anon,
account,backend/modules/account/controllers/AccountController.php,account,quick-access,account/account/quick-access,/account/account/quick-access,default_pattern_guess,no,GET,302,anon,
account,backend/modules/account/controllers/AccountController.php,account,save-passport,account/account/save-passport,account/save-passport,explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/AccountController.php,account,wishlist,account/account/wishlist,account/favorites,explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/AccountController.php,account,loyalty,account/account/loyalty,account/loyalty,explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/LoyaltyController.php,loyalty,index,account/loyalty/index,/account/loyalty/index,default_pattern_guess,no,GET,302,anon,
account,backend/modules/account/controllers/LoyaltyController.php,loyalty,program,account/loyalty/program,/account/loyalty/program,default_pattern_guess,no,GET,302,anon,
account,backend/modules/account/controllers/LoyaltyController.php,loyalty,balance,account/loyalty/balance,account/loyalty/balance,explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/ReturnController.php,return,index,account/return/index,account/returns,explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/ReturnController.php,return,view,account/return/view,"account/returns/<id:\d+>",explicit_rule,no,GET,302,anon,
account,backend/modules/account/controllers/ReturnController.php,return,create,account/return/create,account/returns/create,explicit_rule,no,GET,302,anon,
admin,backend/modules/admin/controllers/ActivityLogController.php,activity-log,index,admin/activity-log/index,admin/order-history,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/ActivityLogController.php,activity-log,export-csv,admin/activity-log/export-csv,admin/activity-log/export-csv,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/ActivityLogController.php,activity-log,cleanup,admin/activity-log/cleanup,/admin/activity-log/cleanup,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AdminController.php,admin,login,admin/admin/login,admin/login,explicit_rule,no,GET,302,admin,
admin,backend/modules/admin/controllers/AdminController.php,admin,logout,admin/admin/logout,admin/logout,explicit_rule,no,GET,405,admin,
admin,backend/modules/admin/controllers/AmoCrmController.php,amo-crm,create-deal,admin/amo-crm/create-deal,/admin/amo-crm/create-deal,default_pattern_guess,no,GET,400,admin,
admin,backend/modules/admin/controllers/AmoCrmController.php,amo-crm,update-status,admin/amo-crm/update-status,/admin/amo-crm/update-status,default_pattern_guess,no,GET,400,admin,
admin,backend/modules/admin/controllers/AmoCrmController.php,amo-crm,settings,admin/amo-crm/settings,/admin/amo-crm/settings,default_pattern_guess,no,GET,302,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,index,admin/analytics/index,admin/analytics,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,conversion,admin/analytics/conversion,admin/analytics/conversion,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,conversions,admin/analytics/conversions,/admin/analytics/conversions,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,sales,admin/analytics/sales,admin/analytics/sales,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,instagram,admin/analytics/instagram,/admin/analytics/instagram,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,rfm,admin/analytics/rfm,/admin/analytics/rfm,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,rfm-api,admin/analytics/rfm-api,/admin/analytics/rfm-api,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,team,admin/analytics/team,/admin/analytics/team,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,export-rfm,admin/analytics/export-rfm,/admin/analytics/export-rfm,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,export,admin/analytics/export,admin/analytics/export,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,chats,admin/analytics/chats,/admin/analytics/chats,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,amocrm,admin/analytics/amocrm,/admin/analytics/amocrm,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,moysklad,admin/analytics/moysklad,/admin/analytics/moysklad,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,summary,admin/analytics/summary,/admin/analytics/summary,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,export-chats,admin/analytics/export-chats,/admin/analytics/export-chats,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,export-orders,admin/analytics/export-orders,/admin/analytics/export-orders,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,export-customers,admin/analytics/export-customers,/admin/analytics/export-customers,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,export-deals,admin/analytics/export-deals,/admin/analytics/export-deals,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AnalyticsController.php,analytics,export-products,admin/analytics/export-products,/admin/analytics/export-products,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/AutomationController.php,automation,index,admin/automation/index,admin/settings/triggers,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/AutomationController.php,automation,create,admin/automation/create,admin/settings/triggers/create,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/AutomationController.php,automation,update,admin/automation/update,"admin/settings/triggers/<id:\d+>/edit",explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/AutomationController.php,automation,delete,admin/automation/delete,"admin/settings/triggers/<id:\d+>/delete",explicit_rule,no,GET,405,admin,
admin,backend/modules/admin/controllers/AutomationController.php,automation,toggle,admin/automation/toggle,"admin/settings/triggers/<id:\d+>/toggle",explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/AutomationController.php,automation,log,admin/automation/log,admin/settings/triggers/log,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/BrandController.php,brand,index,admin/brand/index,admin/brand,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/BrandController.php,brand,view,admin/brand/view,"admin/brand/<id:\d+>",explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/BrandController.php,brand,create,admin/brand/create,admin/brand/create,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/BrandController.php,brand,update,admin/brand/update,"admin/brand/<id:\d+>/edit",explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/BrandController.php,brand,delete,admin/brand/delete,"admin/brand/<id:\d+>/delete",explicit_rule,no,GET,405,admin,
admin,backend/modules/admin/controllers/BrandController.php,brand,upload-logo,admin/brand/upload-logo,"admin/brand/<id:\d+>/upload-logo",explicit_rule,no,GET,400,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,index,admin/buyout/index,admin/procurement/buyouts,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,view,admin/buyout/view,"admin/buyout/<id:\d+>",explicit_rule,no,GET,404,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,create,admin/buyout/create,admin/buyout/create,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,update,admin/buyout/update,/admin/buyout/update,default_pattern_guess,no,GET,400,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,delete,admin/buyout/delete,/admin/buyout/delete,default_pattern_guess,no,GET,405,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,parse-url,admin/buyout/parse-url,admin/buyout/parse-url,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,link-order,admin/buyout/link-order,"admin/buyout/<id:\d+>/link-order",explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,unlink-order,admin/buyout/unlink-order,"admin/buyout/<id:\d+>/unlink-order",explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,accept,admin/buyout/accept,"admin/buyout/<id:\d+>/accept",explicit_rule,no,GET,404,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,cancel,admin/buyout/cancel,"admin/buyout/<id:\d+>/cancel",explicit_rule,no,GET,404,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,bulk-status,admin/buyout/bulk-status,admin/buyout/bulk-status,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,history,admin/buyout/history,"admin/buyout/<id:\d+>/history",explicit_rule,no,GET,404,admin,
admin,backend/modules/admin/controllers/BuyoutController.php,buyout,update-status,admin/buyout/update-status,/admin/buyout/update-status,default_pattern_guess,no,GET,200,admin,
admin,backend/modules/admin/controllers/CategoryController.php,category,index,admin/category/index,admin/category,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/CategoryController.php,category,view,admin/category/view,"admin/category/<id:\d+>",explicit_rule,no,GET,404,admin,
admin,backend/modules/admin/controllers/CategoryController.php,category,create,admin/category/create,admin/category/create,explicit_rule,no,GET,200,admin,
admin,backend/modules/admin/controllers/CategoryController.php,category,update,admin/category/update,"admin/category/<id:\d+>/edit",explicit_rule,no,GET,404,admin,
